census_tract,county,race_ethnicity,action_taken,rate_spread
13089021910,DeKalb,White,3,
13067030356,Cobb,White,3,
13151070123,Henry,Unknown or other,1,-0.303
13121008104,Fulton,Unknown or other,3,
13057091013,Cherokee,Black,1,-0.701
13117130615,Forsyth,White,1,-0.466
13089023108,DeKalb,Unknown or other,1,1.166
13121011637,Fulton,White,1,-0.29
13121011515,Fulton,White,1,-0.19
13057090805,Cherokee,Unknown or other,1,-0.363
13121011443,Fulton,White,1,-0.577
13135050584,Gwinnett,Black,1,0.476
13121008908,Fulton,White,1,-0.023
13063040525,Clayton,Black,1,-0.778
13067030366,Cobb,Black,3,
13121000601,Fulton,Unknown or other,3,
13067030359,Cobb,White,1,0.293
13113140502,Fayette,White,1,0.34
13067030335,Cobb,White,1,-0.531
13117130608,Forsyth,Hispanic,1,-0.318
13067030271,Cobb,White,1,0.59
13067030275,Cobb,Black,1,-0.637
13057090806,Cherokee,White,3,
13113140102,Fayette,White,1,-0.138
13067031121,Cobb,Hispanic,1,0.195
13121011656,Fulton,Asian,1,-1.415
13067030233,Cobb,White,1,-0.654
13117130301,Forsyth,Asian,1,-0.207
13067030278,Cobb,White,1,0.225
13089021213,DeKalb,White,1,0.688
13121011508,Fulton,White,1,-0.683
13067030275,Cobb,Asian,1,-1.215
13121010115,Fulton,White,1,-1.099
13067031409,Cobb,White,1,-0.089
13121011640,Fulton,Black,1,-0.844
13135050737,Gwinnett,Asian,1,-0.194
13089020300,DeKalb,White,1,-1.04
13135050759,Gwinnett,White,1,-0.147
13057091013,Cherokee,Unknown or other,1,-1.517
13067030252,Cobb,Unknown or other,1,-0.396
13089023430,DeKalb,Black,3,
13135050587,Gwinnett,Asian,3,
13135050631,Gwinnett,Hispanic,3,
13067030236,Cobb,White,1,-0.262
13089021819,DeKalb,Unknown or other,1,-1.254
13121011301,Fulton,Hispanic,1,0.131
13121009604,Fulton,White,3,
13089023113,DeKalb,Asian,1,-0.347
13135050564,Gwinnett,Hispanic,3,
13121011612,Fulton,Black,1,-0.422
13135050110,Gwinnett,White,1,0.074
13121009411,Fulton,White,1,-0.499
13121009803,Fulton,White,3,
13089022601,DeKalb,White,3,
13057090911,Cherokee,White,1,-0.155
13121010106,Fulton,Asian,1,0.107
13089021411,DeKalb,White,1,-1.171
13057090707,Cherokee,Black,3,
13067031004,Cobb,Black,1,-0.401
13063040518,Clayton,Black,1,0.296
13135050449,Gwinnett,Black,3,
13135050580,Gwinnett,Asian,1,0.557
